Date,Open,High,Low,Close,Adj Close,Volume
2022-07-29,161.240005,163.630005,159.500000,162.509995,161.545364,101786900
2022-08-01,161.009995,163.589996,160.889999,161.509995,160.551300,67829400
2022-08-02,160.100006,162.410004,159.630005,160.009995,159.060211,59907000
2022-08-03,160.839996,166.589996,160.750000,166.130005,165.143906,82507500
2022-08-04,166.009995,167.190002,164.429993,165.809998,164.825790,55474100
2022-08-05,163.210007,165.850006,163.000000,165.350006,164.596848,56697000
2022-08-08,166.369995,167.809998,164.199997,164.869995,164.119019,60276900
2022-08-09,164.020004,165.820007,163.250000,164.919998,164.168793,63135500
2022-08-10,167.679993,169.339996,166.899994,169.240005,168.469131,70170500
2022-08-11,170.059998,170.990005,168.190002,168.490005,167.722534,57149200
2022-08-12,169.820007,172.169998,169.399994,172.100006,171.316086,68039400
2022-08-15,171.520004,173.389999,171.350006,173.190002,172.401123,54091700
2022-08-16,172.779999,173.710007,171.660004,173.029999,172.241867,56377100
2022-08-17,172.770004,176.149994,172.570007,174.550003,173.754929,79542000
2022-08-18,173.750000,174.899994,173.119995,174.149994,173.356735,62290100
2022-08-19,173.029999,173.740005,171.309998,171.520004,170.738724,70346300
2022-08-22,169.690002,169.860001,167.139999,167.570007,166.806717,69026800
2022-08-23,167.080002,168.710007,166.649994,167.229996,166.468262,54147100
2022-08-24,167.320007,168.110001,166.250000,167.529999,166.766907,53841500
2022-08-25,168.779999,170.139999,168.350006,170.029999,169.255508,51218200
2022-08-26,170.570007,171.050003,163.559998,163.619995,162.874725,78961000
2022-08-29,161.149994,162.899994,159.820007,161.380005,160.644913,73314000
2022-08-30,162.130005,162.559998,157.720001,158.910004,158.186172,77906200
2022-08-31,160.309998,160.580002,157.139999,157.220001,156.503860,87991100
2022-09-01,156.639999,158.419998,154.669998,157.960007,157.240494,74229900
2022-09-02,159.750000,160.360001,154.970001,155.809998,155.100281,76957800
2022-09-06,156.470001,157.089996,153.690002,154.529999,153.826126,73714800
2022-09-07,154.820007,156.669998,153.610001,155.960007,155.249619,87449600
2022-09-08,154.639999,156.360001,152.679993,154.460007,153.756439,84923800
2022-09-09,155.470001,157.820007,154.750000,157.369995,156.653183,68028800
2022-09-12,159.589996,164.259995,159.300003,163.429993,162.685577,104956000
2022-09-13,159.899994,160.539993,153.369995,153.839996,153.139252,122656600
2022-09-14,154.789993,157.100006,153.610001,155.309998,154.602554,87965400
2022-09-15,154.649994,155.240005,151.380005,152.369995,151.675964,90481100
2022-09-16,151.210007,151.350006,148.369995,150.699997,150.013565,162278800
2022-09-19,149.309998,154.559998,149.100006,154.479996,153.776337,81474200
2022-09-20,153.399994,158.080002,153.080002,156.899994,156.185318,107689800
2022-09-21,157.339996,158.740005,153.600006,153.720001,153.019806,101696800
2022-09-22,152.380005,154.470001,150.910004,152.740005,152.044281,86652500
2022-09-23,151.190002,151.470001,148.559998,150.429993,149.744797,96029900
2022-09-26,149.660004,153.770004,149.639999,150.770004,150.083252,93339400
2022-09-27,152.740005,154.720001,149.949997,151.759995,151.068741,84442700
2022-09-28,147.639999,150.639999,144.839996,149.839996,149.157471,146691400
2022-09-29,146.100006,146.720001,140.679993,142.479996,141.830994,128138200
2022-09-30,141.279999,143.100006,138.000000,138.199997,137.570480,124925300
2022-10-03,138.210007,143.070007,137.690002,142.449997,141.801147,114311700
2022-10-04,145.029999,146.220001,144.259995,146.100006,145.434525,87830100
2022-10-05,144.070007,147.380005,143.009995,146.399994,145.733139,79471000
2022-10-06,145.809998,147.539993,145.220001,145.429993,144.767563,68402200
2022-10-07,142.539993,143.100006,139.449997,140.089996,139.451889,85925600
2022-10-10,140.419998,141.889999,138.570007,140.419998,139.780396,74899000
2022-10-11,139.899994,141.350006,138.220001,138.979996,138.346939,77033700
2022-10-12,139.130005,140.360001,138.160004,138.339996,137.709854,70433700
2022-10-13,134.990005,143.589996,134.369995,142.990005,142.338684,113224000
2022-10-14,144.309998,144.520004,138.190002,138.380005,137.749680,88598000
2022-10-17,141.070007,142.899994,140.270004,142.410004,141.761337,85250900
2022-10-18,145.490005,146.699997,140.610001,143.750000,143.095230,99136600
2022-10-19,141.690002,144.949997,141.500000,143.860001,143.204727,61758300
2022-10-20,143.020004,145.889999,142.649994,143.389999,142.736862,64522000
2022-10-21,142.869995,147.850006,142.649994,147.270004,146.599182,86548600
2022-10-24,147.190002,150.229996,146.000000,149.449997,148.769241,75981900
2022-10-25,150.089996,152.490005,149.360001,152.339996,151.646088,74732300
2022-10-26,150.960007,151.990005,148.039993,149.350006,148.669708,88194300
2022-10-27,148.070007,149.050003,144.130005,144.800003,144.140442,109180200
2022-10-28,148.199997,157.500000,147.820007,155.740005,155.030624,164762400
2022-10-31,153.160004,154.240005,151.919998,153.339996,152.641541,97943200
2022-11-01,155.080002,155.449997,149.130005,150.649994,149.963791,80379300
2022-11-02,148.949997,152.169998,145.000000,145.029999,144.369385,93604600
2022-11-03,142.059998,142.800003,138.750000,138.880005,138.247406,97918500
2022-11-04,142.089996,142.669998,134.380005,138.380005,137.978180,140814800
2022-11-07,137.110001,139.149994,135.669998,138.919998,138.516617,83374600
2022-11-08,140.410004,141.429993,137.490005,139.500000,139.094940,89908500
2022-11-09,138.500000,138.550003,134.589996,134.869995,134.478378,74917800
2022-11-10,141.240005,146.869995,139.500000,146.869995,146.443527,118854000
2022-11-11,145.820007,150.009995,144.369995,149.699997,149.265305,93979700
